iter	Passed	Remaining
0	408	407817
1	699	348925
2	1115	370831
3	1492	371699
4	1813	360796
5	2159	357730
6	2473	350896
7	2745	340420
8	3058	336777
9	3334	330094
10	3604	324116
11	3934	323931
12	4228	321027
13	4483	315769
14	4758	312496
15	5028	309250
16	5286	305699
17	5586	304754
18	5857	302419
19	6150	301383
20	6489	302541
21	6745	299847
22	7016	298033
23	7292	296553
24	7543	294189
25	7829	293323
26	8084	291345
27	8330	289195
28	8681	290680
29	9041	292345
30	9325	291510
31	9671	292567
32	10022	293695
33	10334	293630
34	10638	293305
35	10947	293146
36	11206	291661
37	11475	290509
38	11801	290811
39	12098	290354
40	12360	289105
41	12671	289031
42	12996	289238
43	13278	288509
44	13549	287548
45	13814	286498
46	14100	285911
47	14344	284497
48	14579	282962
49	14857	282292
50	15098	280941
51	15394	280658
52	15642	279503
53	15945	279341
54	16267	279509
55	16607	279947
56	16913	279810
57	17159	278696
58	17452	278353
59	17765	278322
60	18046	277791
61	18380	278086
62	18666	277624
63	18964	277355
64	19264	277117
65	19556	276757
66	19829	276135
67	20115	275694
68	20410	275393
69	20688	274863
70	20964	274305
71	21238	273737
72	21488	272876
73	21723	271833
74	21968	270942
75	22258	270617
76	22534	270123
77	22800	269512
78	23069	268951
79	23311	268078
80	23551	267211
81	23812	266584
82	24065	265884
83	24360	265640
84	24572	264519
85	24842	264020
86	25149	263926
87	25378	263013
88	25647	262524
89	25903	261917
90	26164	261359
91	26487	261421
92	26759	260975
93	27020	260427
94	27256	259651
95	27472	258695
96	27739	258238
97	28009	257805
98	28343	257957
99	28604	257439
100	28879	257053
101	29183	256928
102	29448	256455
103	29755	256355
104	30057	256204
105	30326	255768
106	30613	255497
107	30935	255508
108	31204	255078
109	31454	254491
110	31679	253721
111	32002	253737
112	32291	253475
113	32602	253380
114	32877	253013
115	33133	252496
116	33386	251966
117	33669	251662
118	33881	250835
119	34139	250359
120	34406	249947
121	34690	249655
122	34973	249362
123	35248	249012
124	35525	248676
125	35788	248248
126	36098	248141
127	36365	247742
128	36630	247328
129	36922	247094
130	37236	247008
131	37544	246886
132	37852	246749
133	38135	246460
134	38382	245934
135	38676	245711
136	38969	245481
137	39298	245470
138	39564	245069
139	39845	244763
140	40121	244428
141	40389	244043
142	40676	243772
143	40950	243428
144	41248	243222
145	41546	243018
146	41831	242739
147	42087	242287
148	42368	241985
149	42642	241642
150	42911	241270
151	43198	241000
152	43454	240560
153	43724	240199
154	44030	240036
155	44310	239731
156	44573	239332
157	44842	238971
158	45110	238603
159	45380	238247
160	45626	237766
161	45954	237715
162	46240	237444
163	46505	237066
164	46770	236688
165	47050	236386
166	47372	236293
167	47672	236092
168	47938	235723
